770403,2
770104,15
760702,2
760702,19
880209,15
880216,5
810904,12
810103,30
810105,3
800703,31
800506,3
800704,32
800706,15
800503,19
800506,13
800507,4
800507,15
800508,7
800508,8
800508,30
800209,3
800210,14
800102,3
800106,12
790903,3
790903,13
790905,12
790705,15
060110,2
790506,30
780107,15
020305,3
020309,27
020309,28
020310,15
020313,2
020203,8
970706,17
970708,32
970711,5
960205,2
940105,2
940105,32
940107,11
931007,7
710209,19
060101,
050802,30
680407,27
680408,4
680409,2
680410,6
690103,29
690111,3
690115,11
690115,15
690803,6
690803,14
690803,2
690904,15
700701,29
880309,6
880309,11
880309,27
820606,15
820607,15
820610,11
000108,12
940601,4
901001,28
900501,19
900301,19
900105,1
900105,27
900105,30
900111,3
900111,6
900111,12
900114,17
900115,5
900115,12
900116,1
900116,32
890705,31
890706,7
890706,11
890706,30
890707,3
890707,31
890717,1
890717,32
890401,4
890204,27
890208,13
820502,2
820502,3
820502,11
820502,13
820502,19
820504,30
820509,12
820511,15
820512,1
820512,2
820512,32
810205,30
810207,32
810207,2
810208,12
770703,4
770401,3
770203,4
770203,14
770203,15
770203,29
770103,3
770105,27
770109,19
740302,3
700102,2
700113,27
700203,27
700213,8
700217,3
740113,13
740508,13
740510,29
740510,32
760709,15
760603,27
760207,4
760207,29
760212,29
880203,2
880203,32
880204,4
880205,1
880207,13
880208,2
880211,6
880211,8
810902,15
810905,12
810906,12
810104,1
810104,2
810104,32
810106,3
810106,13
810107,12
800702,13
800708,31
790907,15
790909,4
060106,15
060109,19
780703,4
780407,14
930906,12
930805,11
790606,15
060302,13
060303,6
060313,28
060316,15
060319,32
060319,2
020306,5
020306,12
020306,19
020307,2
020308,12
020308,32
020308,2
020311,5
020204,11
970703,3
970704,13
970715,12
970715,32
970715,2
960101,1
940111,6
940112,11
940117,11
931008,27
931008,29
900117,27
970504,2
060807,21
060810,1
970504,30
970505,19
970506,5
970507,15
970507,29
970511,7
970512,2
970513,1
900602,7
900606,32
900615,1
880602,1
880602,32
880609,32
880609,2
800504,15
930505,12
930511,6
930404,3
930307,2
930307,32
920601,4
920601,29
920306,2
920310,6
920312,2
920314,13
920318,27
920320,30
910206,2
910206,8
830305,15
830307,5
830203,5
830106,8
830108,5
830108,12
820907,3
820907,13
820204,12
820206,15
760505,4
750602,15
750604,15
750607,3
690705,29
690706,27
690514,2
690203,11
690203,4
690206,5
690207,4
690209,4
680603,4
680612,29
680614,14
680203,6
680203,7
680206,27
680210,7
680103,27
670406,14
670508,27
670509,29
830603,6
830604,6
830604,14
700115,5
740108,4
740108,27
740507,13
740403,24
700110,5
700114,29
740503,29
